Orgunit ID,Data ID,Orgunit name,Data,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,Max Z score,Max modified Z score,Gap weight,Outlier weight,Total weight
kphDeKClFch,q50r2FWg6de,Turkana County,MOH 731  Total       HV01-50,700,420,447,688,565,793,812,635,1027,625,2445,1985,2.41,9.56,0,3088,3088
CeLsrJOH0g9,q50r2FWg6de,Wajir County,MOH 731  Total       HV01-50,,5,,,11,25,,,,,,,1.1,1.57,99,0,99
XWALbfAPa6n,q50r2FWg6de,West Pokot County,MOH 731  Total       HV01-50,231,648,192,248,128,46,17,96,429,481,302,44,2.08,2.1,0,447,447
KGHhQ5GLd4k,OYGWqG4HnBZ,Bungoma County,MOH 731  Tested_New HV01-13,2739,2948,3297,3112,3367,3811,3222,2496,3378,1891,1022,1406,1.97,3.95,0,1857,1857
Tvf1zgVZ0K4,OYGWqG4HnBZ,Busia County,MOH 731  Tested_New HV01-13,1544,1620,2898,2332,1655,570,1595,1933,1982,1432,968,894,2.01,2.49,0,1396,1396
uyOrcHZBpW0,OYGWqG4HnBZ,Garissa County,MOH 731  Tested_New HV01-13,1087,1222,1018,990,1840,1060,1065,786,1088,784,594,405,2.38,4.66,0,306,306
ihZsJ8alvtb,OYGWqG4HnBZ,Kericho County,MOH 731  Tested_New HV01-13,1141,2422,2885,1879,1493,814,1534,1513,1719,1462,1812,1473,2.21,3.79,0,1316,1316
qKzosKQPl6G,OYGWqG4HnBZ,Kiambu County,MOH 731  Tested_New HV01-13,7726,8752,9848,7338,6431,5036,6759,7503,7338,6324,5952,5156,2.03,2.69,0,3092,3092
nrI2khZx3d0,OYGWqG4HnBZ,Kilifi County,MOH 731  Tested_New HV01-13,3281,4567,6317,4614,4429,4778,4771,4500,5778,4983,4109,3811,2.05,4.02,0,1806,1806
Ulj33KBau7V,OYGWqG4HnBZ,Kirinyaga County,MOH 731  Tested_New HV01-13,2618,2498,5259,3967,3183,2148,3719,4149,4402,3006,2966,2851,2.04,2.39,0,2031,2031
sPkRcDvhGWA,OYGWqG4HnBZ,Kisii County,MOH 731  Tested_New HV01-13,3058,5544,6364,4220,3550,2141,2813,3003,2909,2824,2761,2177,2.24,5.83,0,6017,6017
tAbBVBbueqD,OYGWqG4HnBZ,Kisumu County,MOH 731  Tested_New HV01-13,2948,3498,5303,4842,4489,4049,3465,3010,2971,3250,3103,2866,2,3.3,0,1804,1804
yhCUgGcCcOo,OYGWqG4HnBZ,Machakos County,MOH 731  Tested_New HV01-13,4231,4460,5631,3925,3068,2115,3605,3417,3530,3544,3746,2711,2.22,3.24,0,2144,2144
R6f9znhg37c,OYGWqG4HnBZ,Mandera County,MOH 731  Tested_New HV01-13,374,377,296,561,470,481,606,577,446,882,792,421,2.07,2.74,0,391,391
Y52XNJ50hYb,OYGWqG4HnBZ,Meru County,MOH 731  Tested_New HV01-13,3310,4452,4619,3388,2688,1784,3909,4293,4003,3554,2857,3970,2.17,2.67,0,1947,1947
fVra3Pwta0Q,OYGWqG4HnBZ,Migori County,MOH 731  Tested_New HV01-13,6959,7846,9416,7352,8429,8472,8399,8984,6761,7585,7652,5513,2.13,2.15,0,2474,2474
jkG3zaihdSs,OYGWqG4HnBZ,Nairobi County,MOH 731  Tested_New HV01-13,17593,20760,26722,20160,14940,13852,15724,17429,18222,16911,17826,13110,2.46,2.85,0,9765,9765
ptWVfaCIdVx,OYGWqG4HnBZ,Nyeri County,MOH 731  Tested_New HV01-13,2030,1824,3375,1589,858,1595,1897,1345,2417,2166,1015,1061,2.3,2.74,0,1757,1757
u4t9H8XyU9P,OYGWqG4HnBZ,Siaya County,MOH 731  Tested_New HV01-13,2535,3853,5298,3085,2023,2564,1731,1209,1703,2221,1847,1526,2.46,4.98,0,3089,3089
T4urHM47nlm,OYGWqG4HnBZ,Tharaka Nithi County,MOH 731  Tested_New HV01-13,1463,1398,1485,1159,1223,886,1164,1400,1215,1184,1926,995,2.35,2.65,0,692,692
kphDeKClFch,OYGWqG4HnBZ,Turkana County,MOH 731  Tested_New HV01-13,5817,5899,5952,4815,4488,5564,5233,9722,9830,5078,5353,4225,2.08,6.31,0,9067,9067
pZqQRRW7PHP,OYGWqG4HnBZ,Uasin Gishu County,MOH 731  Tested_New HV01-13,2335,2715,3100,2907,2478,2085,2825,2618,2786,2469,2027,1300,2.39,3.27,0,1277,1277
sANMZ3lpqGs,OYGWqG4HnBZ,Vihiga County,MOH 731  Tested_New HV01-13,1762,1515,2033,2292,1829,1270,1833,1735,1518,1242,1601,1471,2.03,2.58,0,673,673
CeLsrJOH0g9,OYGWqG4HnBZ,Wajir County,MOH 731  Tested_New HV01-13,477,893,603,677,568,638,562,616,728,687,684,550,2.37,3.02,0,276,276
