Orgunit ID,Data ID,Orgunit name,Data,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,Max Z score,Max modified Z score,Gap weight,Outlier weight,Total weight
vvOK1BxTbet,NYkr7LlxmUg,Baringo County,MOH 731   Linked_Total HV01-35,41,49,34,47,51,59,46,34,37,71,48,50,2.25,3.17,0,26,26
KGHhQ5GLd4k,NYkr7LlxmUg,Bungoma County,MOH 731   Linked_Total HV01-35,257,270,225,260,295,326,288,279,275,265,194,236,2.04,3.1,0,77,77
Hsk1YV8kHkT,NYkr7LlxmUg,Kajiado County,MOH 731   Linked_Total HV01-35,115,143,164,159,185,181,148,158,198,161,162,151,2.11,2.89,0,50,50
ihZsJ8alvtb,NYkr7LlxmUg,Kericho County,MOH 731   Linked_Total HV01-35,107,143,98,121,156,104,108,114,112,114,143,122,2,3.78,0,39,39
qKzosKQPl6G,NYkr7LlxmUg,Kiambu County,MOH 731   Linked_Total HV01-35,374,371,313,376,430,465,408,387,345,354,364,351,2.14,3.12,0,95,95
nrI2khZx3d0,NYkr7LlxmUg,Kilifi County,MOH 731   Linked_Total HV01-35,267,230,199,206,247,281,218,219,260,243,270,319,2.08,1.96,0,79,79
Ulj33KBau7V,NYkr7LlxmUg,Kirinyaga County,MOH 731   Linked_Total HV01-35,65,64,73,60,62,102,84,83,57,64,54,66,2.35,4.22,0,35,35
tAbBVBbueqD,NYkr7LlxmUg,Kisumu County,MOH 731   Linked_Total HV01-35,740,749,731,797,878,853,729,766,759,712,593,529,2.14,5.38,0,421,421
j8o6iO4Njsi,NYkr7LlxmUg,Kitui County,MOH 731   Linked_Total HV01-35,168,193,140,171,201,163,140,158,159,176,181,114,2.06,2.67,0,54,54
N7YETT3A9r1,NYkr7LlxmUg,Kwale County,MOH 731   Linked_Total HV01-35,48,98,71,88,110,113,107,75,100,93,100,74,2.16,2.46,0,46,46
R6f9znhg37c,NYkr7LlxmUg,Mandera County,MOH 731   Linked_Total HV01-35,4,10,,3,2,6,2,6,7,3,6,6,2.04,1.35,6,6,12
Y52XNJ50hYb,NYkr7LlxmUg,Meru County,MOH 731   Linked_Total HV01-35,248,183,253,232,342,144,211,164,179,237,182,167,2.39,2.88,0,142,142
fVra3Pwta0Q,NYkr7LlxmUg,Migori County,MOH 731   Linked_Total HV01-35,536,605,454,543,633,716,576,554,566,521,522,389,1.99,4.11,0,3,3
ahwTMNAJvrL,NYkr7LlxmUg,Muranga County,MOH 731   Linked_Total HV01-35,105,110,111,128,111,113,131,98,72,102,61,74,1.85,4.18,0,44,44
ptWVfaCIdVx,NYkr7LlxmUg,Nyeri County,MOH 731   Linked_Total HV01-35,462,94,119,97,93,119,114,89,112,86,79,92,3.15,19.02,0,363,363
kphDeKClFch,NYkr7LlxmUg,Turkana County,MOH 731   Linked_Total HV01-35,116,132,160,194,185,148,187,170,213,220,288,346,2.29,3.54,0,163,163
CeLsrJOH0g9,NYkr7LlxmUg,Wajir County,MOH 731   Linked_Total HV01-35,1,1,,,1,,,,,,,,0,0,9,0,9
XWALbfAPa6n,NYkr7LlxmUg,West Pokot County,MOH 731   Linked_Total HV01-35,80,77,103,85,56,71,60,80,70,67,56,50,2.13,2.19,0,35,35
HMNARUV2CW4,qw7eJpLE3vK,Bomet County,MOH 731   Negative_Total HV01-27,5571,6247,7484,3716,2020,650,3484,3650,4511,5069,5017,5817,2.02,2.56,0,4131,4131
KGHhQ5GLd4k,qw7eJpLE3vK,Bungoma County,MOH 731   Negative_Total HV01-27,4877,5790,6556,6529,5890,7435,5254,6054,6145,3097,1814,2402,1.88,3.87,0,3643,3643
MqnLxQBigG0,qw7eJpLE3vK,Elgeyo Marakwet County,MOH 731   Negative_Total HV01-27,1193,1615,2095,1538,1391,924,703,1387,1230,1149,1056,611,2.09,2.55,0,932,932
uyOrcHZBpW0,qw7eJpLE3vK,Garissa County,MOH 731   Negative_Total HV01-27,1610,2005,1631,1324,2637,1364,1393,1082,1485,896,910,463,2.2,3.09,0,1349,1349
nK0A12Q7MvS,qw7eJpLE3vK,Homa Bay County,MOH 731   Negative_Total HV01-27,16825,22485,29004,18845,17773,9061,17489,19098,12190,14023,17542,10981,2.23,3.05,0,12976,12976
ihZsJ8alvtb,qw7eJpLE3vK,Kericho County,MOH 731   Negative_Total HV01-27,1855,3988,4930,3545,2610,1282,2749,2638,2908,2582,2895,2842,2.16,7.22,0,1992,1992
qKzosKQPl6G,qw7eJpLE3vK,Kiambu County,MOH 731   Negative_Total HV01-27,19350,20546,23684,18446,15247,12153,16069,16111,16653,14696,15839,12399,2.09,2.73,0,7547,7547
Ulj33KBau7V,qw7eJpLE3vK,Kirinyaga County,MOH 731   Negative_Total HV01-27,4824,4288,9971,7488,6204,4403,7213,7317,7968,6396,6120,4862,2.1,1.89,0,3873,3873
sPkRcDvhGWA,qw7eJpLE3vK,Kisii County,MOH 731   Negative_Total HV01-27,7638,11493,14371,10361,8693,5417,7150,6592,6620,6088,4931,5326,2.26,3.34,0,7070,7070
tAbBVBbueqD,qw7eJpLE3vK,Kisumu County,MOH 731   Negative_Total HV01-27,16060,17217,23712,20775,18393,17986,15649,13064,13444,12044,12275,13000,2.07,1.99,0,8266,8266
yhCUgGcCcOo,qw7eJpLE3vK,Machakos County,MOH 731   Negative_Total HV01-27,10931,11280,13724,9519,7738,5383,8568,9175,8078,8191,8467,5640,2.08,3.94,0,5272,5272
Y52XNJ50hYb,qw7eJpLE3vK,Meru County,MOH 731   Negative_Total HV01-27,7200,8578,8788,5872,4304,2793,6248,6815,6694,5589,5469,7567,2.08,2.63,0,3855,3855
fVra3Pwta0Q,qw7eJpLE3vK,Migori County,MOH 731   Negative_Total HV01-27,16004,18702,26534,21930,22681,20906,20924,21865,18349,19836,19108,14084,2,2.63,0,7044,7044
wsBsC6gjHvn,qw7eJpLE3vK,Mombasa County,MOH 731   Negative_Total HV01-27,12155,13840,21102,14634,13241,18472,15398,14641,16115,14140,14987,11805,2.33,3.97,0,6609,6609
jkG3zaihdSs,qw7eJpLE3vK,Nairobi County,MOH 731   Negative_Total HV01-27,43095,49140,61309,51361,40743,33977,37732,42852,47738,43020,47230,33621,2.19,2.46,0,18535,18535
u4t9H8XyU9P,qw7eJpLE3vK,Siaya County,MOH 731   Negative_Total HV01-27,14223,19402,26817,17988,11854,16526,9705,7226,11676,12274,6293,8710,2.26,2.55,0,14465,14465
JsH2bnvNt2d,qw7eJpLE3vK,Tana River County,MOH 731   Negative_Total HV01-27,1224,1446,1477,1195,1073,1642,1531,1178,1528,1528,1367,879,2.01,2.32,0,502,502
T4urHM47nlm,qw7eJpLE3vK,Tharaka Nithi County,MOH 731   Negative_Total HV01-27,3161,3379,3578,2724,3199,1797,2543,3216,3621,2279,3406,2951,2.14,2.98,0,1299,1299
mThvosEflAU,qw7eJpLE3vK,Trans Nzoia County,MOH 731   Negative_Total HV01-27,3100,3460,4863,4471,3300,3864,3398,3073,3618,2135,1369,1153,1.78,3.75,0,2179,2179
