county,year,month,value
Laikipia County,2020,9,120
Lamu County,2020,9,50
Machakos County,2020,9,1842
Makueni County,2020,9,933
Mandera County,2020,9,782
Marsabit County,2020,9,830
Meru County,2020,9,1068
Migori County,2020,9,30089
Mombasa County,2020,9,7523
Muranga County,2020,9,42
Nairobi County,2020,9,3896
Nakuru County,2020,9,4403
Nandi County,2020,9,3633
Narok County,2020,9,2849
Nyamira County,2020,9,1674
Nyandarua County,2020,9,111
Nyeri County,2020,9,38
Samburu County,2020,9,702
Siaya County,2020,9,63156
Taita Taveta County,2020,9,163
Tana River County,2020,9,451
Tharaka Nithi County,2020,9,654
Trans Nzoia County,2020,9,5340
Turkana County,2020,9,34886
Uasin Gishu County,2020,9,2464
Vihiga County,2020,9,19426
Wajir County,2020,9,158
West Pokot County,2020,9,17075
Baringo County,2020,10,11559
Bomet County,2020,10,1594
Bungoma County,2020,10,123405
Busia County,2020,10,94111
Elgeyo Marakwet County,2020,10,2190
Embu County,2020,10,1033
Garissa County,2020,10,1822
Homa Bay County,2020,10,32448
Isiolo County,2020,10,1193
Kajiado County,2020,10,1933
Kakamega County,2020,10,148460
Kericho County,2020,10,4483
Kiambu County,2020,10,863
Kilifi County,2020,10,35158
Kirinyaga County,2020,10,56
Kisii County,2020,10,27574
Kisumu County,2020,10,107671
Kitui County,2020,10,478
Kwale County,2020,10,93821
Laikipia County,2020,10,393
Lamu County,2020,10,101
Machakos County,2020,10,3577
Makueni County,2020,10,1268
Mandera County,2020,10,1277
Marsabit County,2020,10,931
Meru County,2020,10,1180
Migori County,2020,10,61957
Mombasa County,2020,10,8105
Muranga County,2020,10,47
Nairobi County,2020,10,8153
Nakuru County,2020,10,6462
Nandi County,2020,10,5936
Narok County,2020,10,4002
Nyamira County,2020,10,2402
Nyandarua County,2020,10,80
Nyeri County,2020,10,33
Samburu County,2020,10,1199
Siaya County,2020,10,120338
Taita Taveta County,2020,10,420
Tana River County,2020,10,1520
Tharaka Nithi County,2020,10,1185
Trans Nzoia County,2020,10,9237
Turkana County,2020,10,34017
Uasin Gishu County,2020,10,8075
Vihiga County,2020,10,42845
Wajir County,2020,10,266
West Pokot County,2020,10,19001
Baringo County,2020,11,12099
Bomet County,2020,11,1443
Bungoma County,2020,11,121608
Busia County,2020,11,132479
Elgeyo Marakwet County,2020,11,8624
Embu County,2020,11,1956
Garissa County,2020,11,3536
Homa Bay County,2020,11,40166
Isiolo County,2020,11,878
Kajiado County,2020,11,2192
Kakamega County,2020,11,179226
Kericho County,2020,11,10810
Kiambu County,2020,11,2345
Kilifi County,2020,11,35576
Kirinyaga County,2020,11,286
Kisii County,2020,11,29829
Kisumu County,2020,11,110350
Kitui County,2020,11,1425
Kwale County,2020,11,27322
Laikipia County,2020,11,604
Lamu County,2020,11,171
Machakos County,2020,11,5198
Makueni County,2020,11,1289
Mandera County,2020,11,2692
Marsabit County,2020,11,929
Meru County,2020,11,1325
Migori County,2020,11,89305
Mombasa County,2020,11,12425
Muranga County,2020,11,74
Nairobi County,2020,11,13337
Nakuru County,2020,11,7167
Nandi County,2020,11,11614
Narok County,2020,11,5787
Nyamira County,2020,11,5101
Nyandarua County,2020,11,517
Nyeri County,2020,11,112
Samburu County,2020,11,1529
Siaya County,2020,11,135061
Taita Taveta County,2020,11,2448
Tana River County,2020,11,1930
Tharaka Nithi County,2020,11,3069
Trans Nzoia County,2020,11,10520
Turkana County,2020,11,64819
Uasin Gishu County,2020,11,9331
Vihiga County,2020,11,38327
Wajir County,2020,11,840
West Pokot County,2020,11,25630
Baringo County,2020,12,5818
Bomet County,2020,12,571
Bungoma County,2020,12,63230
Busia County,2020,12,46201
Elgeyo Marakwet County,2020,12,4504
Embu County,2020,12,577
Garissa County,2020,12,4165
Homa Bay County,2020,12,19029
Isiolo County,2020,12,779
Kajiado County,2020,12,2815
Kakamega County,2020,12,62482
Kericho County,2020,12,6893
Kiambu County,2020,12,2258
Kilifi County,2020,12,17337
Kirinyaga County,2020,12,185
Kisii County,2020,12,10261
Kisumu County,2020,12,57114
Kitui County,2020,12,1659
Kwale County,2020,12,6440
Laikipia County,2020,12,805
Lamu County,2020,12,128
Machakos County,2020,12,3390
Makueni County,2020,12,1436
Mandera County,2020,12,1443
Marsabit County,2020,12,1258
Meru County,2020,12,1307
Migori County,2020,12,47201
Mombasa County,2020,12,11630
Muranga County,2020,12,116
Nairobi County,2020,12,10129
Nakuru County,2020,12,8037
Nandi County,2020,12,3533
Narok County,2020,12,4641
Nyamira County,2020,12,1444
Nyandarua County,2020,12,72
Nyeri County,2020,12,80
Samburu County,2020,12,1146
Siaya County,2020,12,57647
Taita Taveta County,2020,12,1137
Tana River County,2020,12,569
Tharaka Nithi County,2020,12,1353
Trans Nzoia County,2020,12,7607
Turkana County,2020,12,47376
Uasin Gishu County,2020,12,5185
Vihiga County,2020,12,16362
Wajir County,2020,12,586
West Pokot County,2020,12,11842
Baringo County,2021,1,3961
Bomet County,2021,1,1913
Bungoma County,2021,1,72893
Busia County,2021,1,23891
Elgeyo Marakwet County,2021,1,5434
Embu County,2021,1,748
Garissa County,2021,1,1655
Homa Bay County,2021,1,22161
Isiolo County,2021,1,1486
Kajiado County,2021,1,4371
Kakamega County,2021,1,60930
Kericho County,2021,1,8756
Kiambu County,2021,1,2319
Kilifi County,2021,1,16687
Kirinyaga County,2021,1,456
Kisii County,2021,1,11422
Kisumu County,2021,1,51583
Kitui County,2021,1,2568
Kwale County,2021,1,4355
Laikipia County,2021,1,975
Lamu County,2021,1,69
Machakos County,2021,1,4599
Makueni County,2021,1,1636
Mandera County,2021,1,2628
Marsabit County,2021,1,1326
Meru County,2021,1,2193
Migori County,2021,1,38928
Mombasa County,2021,1,15168
Muranga County,2021,1,114
Nairobi County,2021,1,13210
Nakuru County,2021,1,8793
Nandi County,2021,1,3755
Narok County,2021,1,8390
Nyamira County,2021,1,3991
Nyandarua County,2021,1,122
Nyeri County,2021,1,201
Samburu County,2021,1,1158
Siaya County,2021,1,61442
Taita Taveta County,2021,1,956
Tana River County,2021,1,1706
Tharaka Nithi County,2021,1,1399
Trans Nzoia County,2021,1,4976
Turkana County,2021,1,40887
Uasin Gishu County,2021,1,8280
Vihiga County,2021,1,6700
Wajir County,2021,1,302
West Pokot County,2021,1,13357
Baringo County,2021,2,8169
Bomet County,2021,2,1525
Bungoma County,2021,2,119474
Busia County,2021,2,44291
Elgeyo Marakwet County,2021,2,4179
Embu County,2021,2,1402
Garissa County,2021,2,3452
Homa Bay County,2021,2,39208
Isiolo County,2021,2,1121
Kajiado County,2021,2,4095
Kakamega County,2021,2,155057
Kericho County,2021,2,8769
Kiambu County,2021,2,2906
Kilifi County,2021,2,14655
Kirinyaga County,2021,2,455
Kisii County,2021,2,19284
Kisumu County,2021,2,70024
Kitui County,2021,2,3266
Kwale County,2021,2,32503
Laikipia County,2021,2,802
Lamu County,2021,2,76
Machakos County,2021,2,3776
Makueni County,2021,2,1484
Mandera County,2021,2,1330
Marsabit County,2021,2,1003
Meru County,2021,2,2879
Migori County,2021,2,56259
Mombasa County,2021,2,17804
Muranga County,2021,2,124
Nairobi County,2021,2,14229
Nakuru County,2021,2,7298
Nandi County,2021,2,9566
Narok County,2021,2,10221
Nyamira County,2021,2,3683
Nyandarua County,2021,2,89
Nyeri County,2021,2,74
Samburu County,2021,2,976
Siaya County,2021,2,104701
Taita Taveta County,2021,2,679
Tana River County,2021,2,2278
Tharaka Nithi County,2021,2,1460
Trans Nzoia County,2021,2,6983
Turkana County,2021,2,19213
Uasin Gishu County,2021,2,6897
Vihiga County,2021,2,14679
Wajir County,2021,2,168
West Pokot County,2021,2,8931
Baringo County,2021,3,8882
Bomet County,2021,3,2278
Bungoma County,2021,3,125210
Busia County,2021,3,144055
Elgeyo Marakwet County,2021,3,4250
Embu County,2021,3,2979
Garissa County,2021,3,3072
Homa Bay County,2021,3,60543
Isiolo County,2021,3,1152
Kajiado County,2021,3,4495
Kakamega County,2021,3,213850
Kericho County,2021,3,17917
Kiambu County,2021,3,4157
Kilifi County,2021,3,42436
Kirinyaga County,2021,3,1195
Kisii County,2021,3,34955
Kisumu County,2021,3,117726
Kitui County,2021,3,3633
Kwale County,2021,3,24319
Laikipia County,2021,3,869
Lamu County,2021,3,324
Machakos County,2021,3,5872
Makueni County,2021,3,2358
Mandera County,2021,3,2383
Marsabit County,2021,3,1430
Meru County,2021,3,2256
Migori County,2021,3,144220
Mombasa County,2021,3,15905
Muranga County,2021,3,185
Nairobi County,2021,3,17304
Nakuru County,2021,3,8328
Nandi County,2021,3,15730
Narok County,2021,3,6572
Nyamira County,2021,3,7105
Nyandarua County,2021,3,200
Nyeri County,2021,3,89
Samburu County,2021,3,1095
Siaya County,2021,3,143001
Taita Taveta County,2021,3,1554
Tana River County,2021,3,2079
Tharaka Nithi County,2021,3,3085
Trans Nzoia County,2021,3,10560
Turkana County,2021,3,19471
Uasin Gishu County,2021,3,16149
Vihiga County,2021,3,69853
Wajir County,2021,3,643
West Pokot County,2021,3,7335
Baringo County,2021,4,6735
Bomet County,2021,4,1368
Bungoma County,2021,4,104216
Busia County,2021,4,102737
Elgeyo Marakwet County,2021,4,4516
Embu County,2021,4,1863
Garissa County,2021,4,2418
Homa Bay County,2021,4,45310
Isiolo County,2021,4,1291
Kajiado County,2021,4,2963
Kakamega County,2021,4,189628
Kericho County,2021,4,18948
Kiambu County,2021,4,2476
Kilifi County,2021,4,22349
Kirinyaga County,2021,4,453
Kisii County,2021,4,26078
Kisumu County,2021,4,84710
Kitui County,2021,4,5626
Kwale County,2021,4,13822
Laikipia County,2021,4,930
Lamu County,2021,4,229
Machakos County,2021,4,3629
Makueni County,2021,4,1560
Mandera County,2021,4,1038
Marsabit County,2021,4,1483
Meru County,2021,4,2220
Migori County,2021,4,94350
Mombasa County,2021,4,13257
Muranga County,2021,4,94
Nairobi County,2021,4,11105
Nakuru County,2021,4,5904
Nandi County,2021,4,10510
Narok County,2021,4,5069
Nyamira County,2021,4,7020
Nyandarua County,2021,4,260
Nyeri County,2021,4,110
Samburu County,2021,4,868
Siaya County,2021,4,104501
Taita Taveta County,2021,4,1907
Tana River County,2021,4,1167
Tharaka Nithi County,2021,4,1667
Trans Nzoia County,2021,4,8745
Turkana County,2021,4,17238
Uasin Gishu County,2021,4,11288
Vihiga County,2021,4,57103
Wajir County,2021,4,389
West Pokot County,2021,4,11356
Baringo County,2021,5,8688
Bomet County,2021,5,1303
Bungoma County,2021,5,138143
Busia County,2021,5,140280
Elgeyo Marakwet County,2021,5,4212
Embu County,2021,5,2471
Garissa County,2021,5,3837
Homa Bay County,2021,5,54636
Isiolo County,2021,5,1210
Kajiado County,2021,5,3764
Kakamega County,2021,5,245315
Kericho County,2021,5,16298
Kiambu County,2021,5,3025
Kilifi County,2021,5,27807
Kirinyaga County,2021,5,687
Kisii County,2021,5,38308
Kisumu County,2021,5,120510
Kitui County,2021,5,2695
Kwale County,2021,5,27820
Laikipia County,2021,5,849
Lamu County,2021,5,202
Machakos County,2021,5,3113
Makueni County,2021,5,1875
Mandera County,2021,5,908
Marsabit County,2021,5,1725
Meru County,2021,5,2070
Migori County,2021,5,93235
Mombasa County,2021,5,9984
Muranga County,2021,5,128
Nairobi County,2021,5,11401
Nakuru County,2021,5,6667
Nandi County,2021,5,19427
Narok County,2021,5,9335
Nyamira County,2021,5,7071
Nyandarua County,2021,5,370
Nyeri County,2021,5,160
Samburu County,2021,5,811
Siaya County,2021,5,159745
Taita Taveta County,2021,5,976
Tana River County,2021,5,1394
Tharaka Nithi County,2021,5,1689
Trans Nzoia County,2021,5,9234
Turkana County,2021,5,28488
Uasin Gishu County,2021,5,14269
Vihiga County,2021,5,74484
Wajir County,2021,5,797
West Pokot County,2021,5,9272
Baringo County,2021,6,9399
Bomet County,2021,6,1952
Bungoma County,2021,6,170224
Busia County,2021,6,178546
Elgeyo Marakwet County,2021,6,4217
Embu County,2021,6,3053
Garissa County,2021,6,4516
Homa Bay County,2021,6,47440
Isiolo County,2021,6,1267
Kajiado County,2021,6,4347
Kakamega County,2021,6,333739
Kericho County,2021,6,18077
Kiambu County,2021,6,3591
Kilifi County,2021,6,34883
Kirinyaga County,2021,6,740
Kisii County,2021,6,42487
Kisumu County,2021,6,139492
Kitui County,2021,6,3268
Kwale County,2021,6,27921
Laikipia County,2021,6,1221
Lamu County,2021,6,301
Machakos County,2021,6,4952
Makueni County,2021,6,2542
Mandera County,2021,6,1371
Marsabit County,2021,6,1756
Meru County,2021,6,2132
Migori County,2021,6,124386
Mombasa County,2021,6,16164
Muranga County,2021,6,135
Nairobi County,2021,6,13543
Nakuru County,2021,6,9029
Nandi County,2021,6,27526
Narok County,2021,6,7110
Nyamira County,2021,6,8300
Nyandarua County,2021,6,280
Nyeri County,2021,6,140
Samburu County,2021,6,2618
Siaya County,2021,6,164873
Taita Taveta County,2021,6,2589
Tana River County,2021,6,1320
Tharaka Nithi County,2021,6,1749
Trans Nzoia County,2021,6,10234
Turkana County,2021,6,46426
Uasin Gishu County,2021,6,17556
Vihiga County,2021,6,101566
Wajir County,2021,6,1012
West Pokot County,2021,6,12706
Baringo County,2021,7,11718
Bomet County,2021,7,1052
Bungoma County,2021,7,128135
Busia County,2021,7,128901
Elgeyo Marakwet County,2021,7,3966
Embu County,2021,7,1264
Garissa County,2021,7,3438
Homa Bay County,2021,7,55382
Isiolo County,2021,7,1106
Kajiado County,2021,7,5532
Kakamega County,2021,7,242502
Kericho County,2021,7,16678
Kiambu County,2021,7,4238
Kilifi County,2021,7,32909
Kirinyaga County,2021,7,713
Kisii County,2021,7,34228
Kisumu County,2021,7,96522
Kitui County,2021,7,3182
Kwale County,2021,7,61909
Laikipia County,2021,7,555
Lamu County,2021,7,515
Machakos County,2021,7,5754
Makueni County,2021,7,2214
Mandera County,2021,7,1436
Marsabit County,2021,7,1190
Meru County,2021,7,2581
Migori County,2021,7,121590
Mombasa County,2021,7,19732
Muranga County,2021,7,98
Nairobi County,2021,7,19913
Nakuru County,2021,7,10952
Nandi County,2021,7,45346
Narok County,2021,7,7284
Nyamira County,2021,7,7282
Nyandarua County,2021,7,355
Nyeri County,2021,7,67
Samburu County,2021,7,1676
Siaya County,2021,7,92578
Taita Taveta County,2021,7,4056
Tana River County,2021,7,3635
Tharaka Nithi County,2021,7,3306
Trans Nzoia County,2021,7,13080
Turkana County,2021,7,58758
Uasin Gishu County,2021,7,14532
Vihiga County,2021,7,73877
Wajir County,2021,7,824
West Pokot County,2021,7,17974
Baringo County,2021,8,16659
Bomet County,2021,8,1235
Bungoma County,2021,8,155561
Busia County,2021,8,128924
Elgeyo Marakwet County,2021,8,4909
Embu County,2021,8,2409
Garissa County,2021,8,3882
Homa Bay County,2021,8,75492
Isiolo County,2021,8,1264
Kajiado County,2021,8,6358
Kakamega County,2021,8,249404
Kericho County,2021,8,19264
Kiambu County,2021,8,5158
Kilifi County,2021,8,29683
Kirinyaga County,2021,8,673
Kisii County,2021,8,44388
Kisumu County,2021,8,115726
Kitui County,2021,8,4302
Kwale County,2021,8,53987
Laikipia County,2021,8,492
Lamu County,2021,8,447
Machakos County,2021,8,6032
Makueni County,2021,8,2243
Mandera County,2021,8,972
Marsabit County,2021,8,1438
Meru County,2021,8,3442
Migori County,2021,8,110265
Mombasa County,2021,8,13941
Muranga County,2021,8,78
Nairobi County,2021,8,19031
Nakuru County,2021,8,12820
Nandi County,2021,8,34860
Narok County,2021,8,10173
Nyamira County,2021,8,8959
Nyandarua County,2021,8,522
Nyeri County,2021,8,247
Samburu County,2021,8,2006
Siaya County,2021,8,127769
Taita Taveta County,2021,8,6254
Tana River County,2021,8,3736
Tharaka Nithi County,2021,8,4268
Trans Nzoia County,2021,8,17416
Turkana County,2021,8,108122
Uasin Gishu County,2021,8,17667
Vihiga County,2021,8,92248
Wajir County,2021,8,984
West Pokot County,2021,8,21720
Baringo County,2021,9,20697
Bomet County,2021,9,1077
Bungoma County,2021,9,158577
Busia County,2021,9,158286
Elgeyo Marakwet County,2021,9,3443
Embu County,2021,9,1807
Garissa County,2021,9,2521
Homa Bay County,2021,9,57281
Isiolo County,2021,9,1619
Kajiado County,2021,9,5325
Kakamega County,2021,9,254337
Kericho County,2021,9,22734
Kiambu County,2021,9,5215
Kilifi County,2021,9,32750
Kirinyaga County,2021,9,1742
Kisii County,2021,9,44680
Kisumu County,2021,9,122254
Kitui County,2021,9,3518
Kwale County,2021,9,49877
Laikipia County,2021,9,617
Lamu County,2021,9,289
Machakos County,2021,9,4959
Makueni County,2021,9,3227
Mandera County,2021,9,782
Marsabit County,2021,9,2345
Meru County,2021,9,3453
Migori County,2021,9,94988
Mombasa County,2021,9,10568
Muranga County,2021,9,198
Nairobi County,2021,9,19482
Nakuru County,2021,9,11993
Nandi County,2021,9,25517
Narok County,2021,9,5623
Nyamira County,2021,9,9193
Nyandarua County,2021,9,436
Nyeri County,2021,9,75
Samburu County,2021,9,2276
Siaya County,2021,9,135757
Taita Taveta County,2021,9,4491
Tana River County,2021,9,1487
Tharaka Nithi County,2021,9,4257
Trans Nzoia County,2021,9,12421
Turkana County,2021,9,55609
Uasin Gishu County,2021,9,11394
Vihiga County,2021,9,98200
Wajir County,2021,9,775
West Pokot County,2021,9,17059
Baringo County,2021,10,14147
Bomet County,2021,10,1303
Bungoma County,2021,10,108732
Busia County,2021,10,116294
Elgeyo Marakwet County,2021,10,2391
Embu County,2021,10,984
Garissa County,2021,10,2931
Homa Bay County,2021,10,76702
Isiolo County,2021,10,922
Kajiado County,2021,10,3889
Kakamega County,2021,10,151053
Kericho County,2021,10,13804
Kiambu County,2021,10,3348
Kilifi County,2021,10,36020
Kirinyaga County,2021,10,832
Kisii County,2021,10,30687
Kisumu County,2021,10,94793
Kitui County,2021,10,3710
Kwale County,2021,10,39074
Laikipia County,2021,10,355
Lamu County,2021,10,301
Machakos County,2021,10,4435
Makueni County,2021,10,2940
Mandera County,2021,10,1135
Marsabit County,2021,10,1161
Meru County,2021,10,2906
Migori County,2021,10,103729
Mombasa County,2021,10,20164
Muranga County,2021,10,88
Nairobi County,2021,10,17433
Nakuru County,2021,10,7722
Nandi County,2021,10,17205
Narok County,2021,10,7149
Nyamira County,2021,10,6366
Nyandarua County,2021,10,317
Nyeri County,2021,10,75
Samburu County,2021,10,1392
Siaya County,2021,10,129390
Taita Taveta County,2021,10,3980
Tana River County,2021,10,1466
Tharaka Nithi County,2021,10,3258
Trans Nzoia County,2021,10,8730
Turkana County,2021,10,53461
Uasin Gishu County,2021,10,7964
Vihiga County,2021,10,50932
Wajir County,2021,10,542
West Pokot County,2021,10,15335
Baringo County,2021,11,12321
Bomet County,2021,11,1522
Bungoma County,2021,11,100108
Busia County,2021,11,129000
Elgeyo Marakwet County,2021,11,1941
Embu County,2021,11,2163
Garissa County,2021,11,2258
Homa Bay County,2021,11,90214
Isiolo County,2021,11,1066
Kajiado County,2021,11,3947
Kakamega County,2021,11,163014
Kericho County,2021,11,10260
Kiambu County,2021,11,5212
Kilifi County,2021,11,41766
Kirinyaga County,2021,11,757
Kisii County,2021,11,34516
Kisumu County,2021,11,87300
Kitui County,2021,11,3554
Kwale County,2021,11,45227
Laikipia County,2021,11,449
Lamu County,2021,11,384
Machakos County,2021,11,5012
Makueni County,2021,11,2528
Mandera County,2021,11,1041
Marsabit County,2021,11,855
Meru County,2021,11,1694
Migori County,2021,11,139571
Mombasa County,2021,11,21339
Muranga County,2021,11,83
Nairobi County,2021,11,15167
Nakuru County,2021,11,9531
Nandi County,2021,11,17558
Narok County,2021,11,6142
Nyamira County,2021,11,7027
Nyandarua County,2021,11,228
Nyeri County,2021,11,108
Samburu County,2021,11,1490
Siaya County,2021,11,146991
Taita Taveta County,2021,11,3745
Tana River County,2021,11,2367
Tharaka Nithi County,2021,11,4574
Trans Nzoia County,2021,11,9983
Turkana County,2021,11,34306
Uasin Gishu County,2021,11,8333
Vihiga County,2021,11,61084
Wajir County,2021,11,1158
West Pokot County,2021,11,13202
Baringo County,2021,12,11031
Bomet County,2021,12,2202
Bungoma County,2021,12,119773
Busia County,2021,12,118751
Elgeyo Marakwet County,2021,12,2502
Embu County,2021,12,1797
Garissa County,2021,12,1978
Homa Bay County,2021,12,100371
Isiolo County,2021,12,1121
Kajiado County,2021,12,8094
Kakamega County,2021,12,160386
Kericho County,2021,12,18381
Kiambu County,2021,12,4222
Kilifi County,2021,12,44756
Kirinyaga County,2021,12,1353
Kisii County,2021,12,47848
Kisumu County,2021,12,116218
Kitui County,2021,12,5693
Kwale County,2021,12,49824
Laikipia County,2021,12,368
Lamu County,2021,12,260
Machakos County,2021,12,4816
Makueni County,2021,12,4001
Mandera County,2021,12,852
Marsabit County,2021,12,1520
Meru County,2021,12,12007
Migori County,2021,12,184535
Mombasa County,2021,12,21921
Muranga County,2021,12,154
Nairobi County,2021,12,20871
Nakuru County,2021,12,13586
Nandi County,2021,12,13025
Narok County,2021,12,5315
Nyamira County,2021,12,11730
Nyandarua County,2021,12,531
Nyeri County,2021,12,94
Samburu County,2021,12,1693
Siaya County,2021,12,163296
Taita Taveta County,2021,12,2969
Tana River County,2021,12,2119
Tharaka Nithi County,2021,12,4488
Trans Nzoia County,2021,12,10082
Turkana County,2021,12,24830
Uasin Gishu County,2021,12,12283
Vihiga County,2021,12,72826
Wajir County,2021,12,1065
West Pokot County,2021,12,17575
