county,year,month,value
Elgeyo Marakwet County,2019,5,1072
Embu County,2019,5,363
Garissa County,2019,5,384
Homa Bay County,2019,5,23776
Isiolo County,2019,5,937
Kajiado County,2019,5,930
Kakamega County,2019,5,156135
Kericho County,2019,5,4451
Kiambu County,2019,5,1404
Kilifi County,2019,5,6081
Kirinyaga County,2019,5,96
Kisii County,2019,5,17154
Kisumu County,2019,5,84759
Kitui County,2019,5,2641
Kwale County,2019,5,14109
Laikipia County,2019,5,215
Lamu County,2019,5,51
Machakos County,2019,5,1058
Makueni County,2019,5,1943
Mandera County,2019,5,1024
Marsabit County,2019,5,241
Meru County,2019,5,1566
Migori County,2019,5,47720
Mombasa County,2019,5,9871
Muranga County,2019,5,122
Nairobi County,2019,5,6449
Nakuru County,2019,5,5179
Nandi County,2019,5,19476
Narok County,2019,5,7480
Nyamira County,2019,5,1725
Nyandarua County,2019,5,282
Nyeri County,2019,5,114
Samburu County,2019,5,823
Siaya County,2019,5,116958
Taita Taveta County,2019,5,189
Tana River County,2019,5,641
Tharaka Nithi County,2019,5,1094
Trans Nzoia County,2019,5,9747
Turkana County,2019,5,9276
Uasin Gishu County,2019,5,6203
Vihiga County,2019,5,62056
Wajir County,2019,5,114
West Pokot County,2019,5,4964
Baringo County,2019,6,4182
Bomet County,2019,6,584
Bungoma County,2019,6,74303
Busia County,2019,6,107645
Elgeyo Marakwet County,2019,6,923
Embu County,2019,6,374
Garissa County,2019,6,363
Homa Bay County,2019,6,28249
Isiolo County,2019,6,953
Kajiado County,2019,6,908
Kakamega County,2019,6,164512
Kericho County,2019,6,3730
Kiambu County,2019,6,1170
Kilifi County,2019,6,9314
Kirinyaga County,2019,6,123
Kisii County,2019,6,18191
Kisumu County,2019,6,81015
Kitui County,2019,6,1617
Kwale County,2019,6,21870
Laikipia County,2019,6,346
Lamu County,2019,6,28
Machakos County,2019,6,5202
Makueni County,2019,6,1164
Mandera County,2019,6,1596
Marsabit County,2019,6,498
Meru County,2019,6,1303
Migori County,2019,6,50434
Mombasa County,2019,6,9509
Muranga County,2019,6,132
Nairobi County,2019,6,6324
Nakuru County,2019,6,4233
Nandi County,2019,6,14610
Narok County,2019,6,4410
Nyamira County,2019,6,2458
Nyandarua County,2019,6,129
Nyeri County,2019,6,74
Samburu County,2019,6,1009
Siaya County,2019,6,121561
Taita Taveta County,2019,6,230
Tana River County,2019,6,752
Tharaka Nithi County,2019,6,1406
Trans Nzoia County,2019,6,9999
Turkana County,2019,6,10525
Uasin Gishu County,2019,6,5655
Vihiga County,2019,6,61065
Wajir County,2019,6,47
West Pokot County,2019,6,7886
Baringo County,2019,7,5692
Bomet County,2019,7,702
Bungoma County,2019,7,110212
Busia County,2019,7,131546
Elgeyo Marakwet County,2019,7,1428
Embu County,2019,7,469
Garissa County,2019,7,467
Homa Bay County,2019,7,37499
Isiolo County,2019,7,927
Kajiado County,2019,7,1044
Kakamega County,2019,7,171858
Kericho County,2019,7,6130
Kiambu County,2019,7,1550
Kilifi County,2019,7,14260
Kirinyaga County,2019,7,135
Kisii County,2019,7,24207
Kisumu County,2019,7,109086
Kitui County,2019,7,2767
Kwale County,2019,7,26646
Laikipia County,2019,7,265
Lamu County,2019,7,32
Machakos County,2019,7,5014
Makueni County,2019,7,1920
Mandera County,2019,7,982
Marsabit County,2019,7,714
Meru County,2019,7,1465
Migori County,2019,7,66999
Mombasa County,2019,7,8037
Muranga County,2019,7,249
Nairobi County,2019,7,7649
Nakuru County,2019,7,5899
Nandi County,2019,7,19297
Narok County,2019,7,5022
Nyamira County,2019,7,2726
Nyandarua County,2019,7,196
Nyeri County,2019,7,49
Samburu County,2019,7,1041
Siaya County,2019,7,179458
Taita Taveta County,2019,7,387
Tana River County,2019,7,945
Tharaka Nithi County,2019,7,1124
Trans Nzoia County,2019,7,11744
Turkana County,2019,7,21527
Uasin Gishu County,2019,7,5123
Vihiga County,2019,7,73779
